date,secchi_m,light_attenuation_index
1982-01-26,2.300000,0.739130
1982-02-23,2.200000,0.772727
1982-04-05,2.500000,0.680000
1982-05-11,1.700000,1.000000
1982-05-25,1.900000,0.894737
1982-06-09,3.000000,0.566667
1982-06-25,2.500000,0.680000
1982-07-05,3.300000,0.515152
1982-07-21,3.200000,0.531250
1982-08-05,2.800000,0.607143
1982-08-16,3.000000,0.566667
1982-09-08,1.900000,0.894737
1982-09-21,1.500000,1.133333
1982-10-05,2.000000,0.850000
1982-10-22,2.300000,0.739130
1982-11-08,2.400000,0.708333
1982-11-30,3.500000,0.485714
1983-01-17,3.000000,0.566667
1983-02-18,3.000000,0.566667
1983-03-23,2.500000,0.680000
1983-05-10,2.100000,0.809524
1983-05-25,2.400000,0.708333
1983-06-08,2.700000,0.629630
1983-06-22,3.000000,0.566667
1983-07-05,3.400000,0.500000
1983-07-20,3.900000,0.435897
1983-08-04,2.600000,0.653846
1983-08-15,2.800000,0.607143
1983-09-09,2.900000,0.586207
1983-09-29,1.300000,1.307692
1983-10-18,2.500000,0.680000
1983-11-16,2.300000,0.739130
1984-01-06,2.200000,0.772727
1984-02-29,2.900000,0.586207
1984-04-03,3.500000,0.485714
1984-05-09,2.300000,0.739130
1984-05-23,3.500000,0.485714
1984-06-05,2.400000,0.708333
1984-06-21,3.900000,0.435897
1984-07-03,3.200000,0.531250
1984-07-18,2.800000,0.607143
1984-08-02,3.100000,0.548387
1984-08-14,3.200000,0.531250
1984-09-06,1.800000,0.944444
1984-09-24,1.800000,0.944444
1984-10-15,2.400000,0.708333
1984-11-08,1.800000,0.944444
1985-01-07,3.000000,0.566667
1985-02-25,3.600000,0.472222
1985-03-27,4.000000,0.425000
1985-04-30,2.000000,0.850000
1985-05-16,3.600000,0.472222
1985-05-28,3.800000,0.447368
1985-06-11,2.300000,0.739130
1985-06-24,3.300000,0.515152
1985-07-11,4.300000,0.395349
1985-07-23,2.700000,0.629630
1985-08-07,2.800000,0.607143
1985-08-19,1.500000,1.133333
1985-09-12,2.000000,0.850000
1985-09-30,2.000000,0.850000
1985-10-22,2.400000,0.708333
1985-11-11,2.800000,0.607143
1986-03-03,2.300000,0.739130
1986-03-31,4.200000,0.404762
1986-04-24,1.800000,0.944444
1986-05-08,3.000000,0.566667
1986-05-20,5.400000,0.314815
1986-06-02,3.800000,0.447368
1986-06-18,6.100000,0.278689
1986-07-02,4.000000,0.425000
1986-07-16,3.200000,0.531250
1986-07-28,3.400000,0.500000
1986-08-13,2.400000,0.708333
1986-08-26,1.900000,0.894737
1986-09-10,2.100000,0.809524
1986-09-22,2.000000,0.850000
1986-10-09,2.300000,0.739130
1986-10-22,2.400000,0.708333
1986-11-03,2.400000,0.708333
1987-01-20,2.500000,0.680000
1987-02-24,3.100000,0.548387
1987-03-19,4.800000,0.354167
1987-04-15,2.000000,0.850000
1987-05-04,3.600000,0.472222
1987-05-18,4.100000,0.414634
1987-06-01,3.900000,0.435897
1987-06-11,3.900000,0.435897
1987-06-29,3.600000,0.472222
1987-07-27,4.100000,0.414634
1987-08-13,2.000000,0.850000
1987-08-26,1.500000,1.133333
1987-09-10,1.600000,1.062500
1987-09-21,1.600000,1.062500
1987-10-05,1.700000,1.000000
1987-10-21,2.500000,0.680000
1987-11-05,3.000000,0.566667
1987-11-18,3.100000,0.548387
1988-01-11,3.900000,0.435897
1988-03-02,3.000000,0.566667
1988-03-21,2.700000,0.629630
1988-04-26,2.100000,0.809524
1988-05-09,4.100000,0.414634
1988-05-25,4.700000,0.361702
1988-06-07,5.400000,0.314815
1988-06-20,5.000000,0.340000
1988-07-04,3.600000,0.472222
1988-07-19,4.200000,0.404762
1988-08-03,3.100000,0.548387
1988-08-18,2.100000,0.809524
1988-08-30,1.400000,1.214286
1988-09-13,1.400000,1.214286
1988-09-28,1.300000,1.307692
1988-10-12,3.000000,0.566667
1988-10-25,3.300000,0.515152
1988-11-02,4.900000,0.346939
1989-01-11,4.300000,0.395349
1989-03-06,3.100000,0.548387
1989-05-01,1.900000,0.894737
1989-05-16,4.100000,0.414634
1989-05-29,5.000000,0.340000
1989-06-13,3.500000,0.485714
1989-06-28,3.200000,0.531250
1989-07-12,3.600000,0.472222
1989-07-25,3.800000,0.447368
1989-08-07,2.500000,0.680000
1989-08-22,2.200000,0.772727
1989-09-06,1.700000,1.000000
1989-09-19,1.700000,1.000000
1989-10-04,2.700000,0.629630
1989-10-18,3.300000,0.515152
1989-10-31,3.000000,0.566667
1989-11-09,2.700000,0.629630
1990-01-24,3.200000,0.531250
1990-02-27,3.000000,0.566667
1990-03-27,4.100000,0.414634
1990-04-30,2.400000,0.708333
1990-05-17,5.300000,0.320755
1990-05-30,5.900000,0.288136
1990-06-13,4.000000,0.425000
1990-06-27,3.200000,0.531250
1990-07-09,3.100000,0.548387
1990-07-24,3.300000,0.515152
1990-08-08,2.500000,0.680000
1990-08-22,2.200000,0.772727
1990-09-04,1.900000,0.894737
1990-09-18,1.800000,0.944444
1990-10-03,2.000000,0.850000
1990-10-17,2.100000,0.809524
1990-10-31,1.100000,1.545455
1990-11-09,1.200000,1.416667
1991-01-17,3.000000,0.566667
1991-02-19,3.800000,0.447368
1991-03-25,3.600000,0.472222
1991-05-07,2.000000,0.850000
1991-05-21,5.700000,0.298246
1991-06-04,2.600000,0.653846
1991-06-18,3.600000,0.472222
1991-07-03,3.100000,0.548387
1991-07-15,2.700000,0.629630
1991-07-30,2.800000,0.607143
1991-08-13,3.500000,0.485714
1991-08-27,2.800000,0.607143
